28,47,65536
29,46,65536
30,48,65536
31,34,65536
32,34,65536
33,34,65536
34,40,65536
34,50,65536
34,61,2097152
35,38,65536
36,38,65536
37,38,65536
38,39,65536
38,49,65536
39,41,65536
40,41,65536
41,46,65536
46,63,2097152
47,59,2097152
48,52,65536
49,50,65536
49,57,2097152
50,51,65536
51,52,65536
52,53,65536
52,67,2097152
52,71,2097152
52,75,2097152
52,79,2097152
52,83,2097152
52,87,2097152
52,91,2097152
52,95,2097152
53,66,65536
54,57,65536
54,60,65536
54,96,65536
57,58,2097152
58,59,2097152
59,65,2097152
59,69,2097152
59,73,2097152
59,77,2097152
59,81,2097152
59,85,2097152
59,89,2097152
59,93,2097152
60,61,2097152
61,62,2097152
62,63,2097152
63,64,2097152
63,68,2097152
63,72,2097152
63,76,2097152
63,80,2097152
63,84,2097152
63,88,2097152
63,92,2097152
64,66,2097152
65,66,2097152
66,67,2097152
66,70,2097152
68,70,2097152
69,70,2097152
70,71,2097152
70,74,2097152
72,74,2097152
73,74,2097152
74,75,2097152
74,78,2097152
76,78,2097152
77,78,2097152
78,79,2097152
78,82,2097152
80,82,2097152
81,82,2097152
82,83,2097152
82,86,2097152
84,86,2097152
85,86,2097152
86,87,2097152
86,90,2097152
88,90,2097152
89,90,2097152
90,91,2097152
90,94,2097152
92,94,2097152
93,94,2097152
94,66,2031616
94,95,2097152
96,57,2031616
96,60,2031616
96,96,2031616
96,97,2097152
97,57,2031616
97,101,65536
