118,137,65536
119,136,65536
120,138,65536
121,124,65536
122,124,65536
123,124,65536
124,130,65536
124,140,65536
124,151,2097152
125,128,65536
126,128,65536
127,128,65536
128,129,65536
128,139,65536
129,131,65536
130,131,65536
131,136,65536
136,153,2097152
137,149,2097152
138,142,65536
139,140,65536
139,147,2097152
140,141,65536
141,142,65536
142,143,65536
142,157,2097152
142,161,2097152
142,165,2097152
142,169,2097152
142,173,2097152
142,177,2097152
142,181,2097152
142,185,2097152
143,156,65536
144,147,65536
144,150,65536
144,186,65536
147,148,2097152
148,149,2097152
149,155,2097152
149,159,2097152
149,163,2097152
149,167,2097152
149,171,2097152
149,175,2097152
149,179,2097152
149,183,2097152
150,151,2097152
151,152,2097152
152,153,2097152
153,154,2097152
153,158,2097152
153,162,2097152
153,166,2097152
153,170,2097152
153,174,2097152
153,178,2097152
153,182,2097152
154,156,2097152
155,156,2097152
156,157,2097152
156,160,2097152
158,160,2097152
159,160,2097152
160,161,2097152
160,164,2097152
162,164,2097152
163,164,2097152
164,165,2097152
164,168,2097152
166,168,2097152
167,168,2097152
168,169,2097152
168,172,2097152
170,172,2097152
171,172,2097152
172,173,2097152
172,176,2097152
174,176,2097152
175,176,2097152
176,177,2097152
176,180,2097152
178,180,2097152
179,180,2097152
180,181,2097152
180,184,2097152
182,184,2097152
183,184,2097152
184,156,2031616
184,185,2097152
186,147,2031616
186,150,2031616
186,186,2031616
186,187,2097152
187,147,2031616
187,191,65536
